Contract,Difficulty,Work Type,Created,Task Priority,Staff
Contract 25,High,general,1725936673825,Priority 2,Employee 1
Contract 9,Critical,website-design,1725928421228,Priority 2,Employee 2
Contract 21,High,general,1725918822287,Priority 2,Employee 14
Contract 3,Medium,enquiry,1725427992825,Priority 3,Employee 5
Contract 25,Medium,general,1724898462666,Priority 1,Employee 15
Contract 43,Medium,graphic-design,1724891708607,Priority 2,Employee 2
Contract 51,High,internal,1724823172077,Priority 3,Employee 15
Contract 29,Medium,internal,1724716758290,Priority 2,Employee 9
Contract 64,High,website-design,1724652300794,Priority 2,Employee 15
Contract 25,High,enquiry,1724630921057,Priority 3,Employee 3
Contract 37,High,general,1724219436399,Priority 2,Employee 3
Contract 34,Critical,general,1724195539656,Priority 2,Employee 15
Contract 5,Critical,artifacts,1723865783183,Priority 1,Employee 13
Contract 33,High,internal,1723757934596,Immediate,Employee 15
Contract 26,High,artifacts,1723528026115,Priority 2,Employee 3
Contract 26,High,general,1723525016173,Priority 3,Employee 3
Contract 2,Medium,internal,1723065491576,Priority 3,Employee 17
Contract 6,High,google-forms,1722989005689,Priority 2,Employee 10
Contract 4,Critical,internal,1722393889187,Priority 2,Employee 9
Contract 7,High,general,1722216166680,Priority 2,Employee 9
Contract 31,High,general,1721802407583,Priority 3,Employee 17
Contract 8,Critical,internal,1721784533416,Priority 3,Employee 15
Contract 26,Medium,general,1721713786473,Priority 1,Employee 17
Contract 25,Critical,general,1721700768397,Priority 3,Employee 17
Contract 50,High,internal,1721697839413,Priority 3,Employee 15
Contract 25,Critical,internal,1721615263034,Priority 3,Employee 15
Contract 32,Medium,dashboard,1721186702755,Priority 3,Employee 15
Contract 31,Medium,general,1720670395948,Priority 3,Employee 15
Contract 31,Medium,general,1720593263492,Priority 1,Employee 4
Contract 6,High,payement-integration,1720405386303,Priority 2,Employee 10
Contract 6,Critical,payement-integration,1720405329132,Priority 2,Employee 10
Contract 6,High,payement-integration,1720404449025,Priority 3,Employee 20
Contract 33,Critical,billing,1720067744993,Immediate,Employee 2
Contract 8,Medium,general,1720050832234,Priority 3,Employee 15
Contract 26,High,general,1719965141273,Priority 3,Employee 15
Contract 42,High,website-design,1719815736467,Priority 3,Employee 10
Contract 8,Medium,enquiry,1719360005594,Priority 3,Employee 17
Contract 69,High,dashboard,1719357679401,Immediate,Employee 15
Contract 26,High,general,1719353154035,Priority 3,Employee 10
Contract 21,High,general,1719187632443,Priority 3,Employee 14
Contract 1,High,general,1719181854806,Priority 3,Employee 10
Contract 68,Medium,website-design,1718843410957,Priority 2,Employee 1
Contract 26,Critical,general,1718842404908,Immediate,Employee 10
Contract 34,High,general,1718755572242,Priority 3,Employee 10
Contract 50,Medium,general,1718680288122,Priority 3,Employee 15
Contract 3,High,internal,1718676274642,Immediate,Employee 15
Contract 33,Medium,general,1717990469211,Priority 3,Employee 2
Contract 13,High,general,1717480084525,Priority 1,Employee 10
Contract 14,Critical,google-forms,1717405260623,Priority 2,Employee 2
Contract 31,High,artifacts,1717374162296,Priority 3,Employee 10
Contract 3,High,wordpress-dev,1717109691813,Immediate,Employee 7
Contract 25,High,general,1717038193762,Priority 3,Employee 15
Contract 31,Medium,general,1716769415807,Priority 1,Employee 15
Contract 51,High,general,1716156840217,Priority 3,Employee 15
Contract 51,High,internal,1716156781001,Priority 3,Employee 15
Contract 10,Medium,artifacts,1715659828115,Priority 3,Employee 1
Contract 10,Medium,google-forms,1715659757997,Priority 2,Employee 1
Contract 26,Low,general,1715645763278,Priority 3,Employee 10
Contract 11,Medium,feature-additions,1715459966908,Priority 3,Employee 15
Contract 22,Medium,enquiry,1714703979330,Priority 3,Employee 10
Contract 5,Medium,google-forms,1714528350668,Priority 3,Employee 15
Contract 9,High,general,1714463509045,Priority 3,Employee 2
Contract 4,Low,general,1713471851538,Priority 3,Employee 1
Contract 26,High,general,1713424413972,Priority 3,Employee 2
Contract 31,High,website upgrades,1713319301120,Priority 1,Employee 7
Contract 5,High,general,1713237363833,Priority 2,Employee 2
Contract 2,High,website-design,1711365720108,Immediate,Employee 2
Contract 34,High,general,1711344005390,Priority 2,Employee 10
Contract 34,High,dashboard,1710898504963,Immediate,Employee 17
Contract 51,Medium,general,1710547757400,Hold Off,Employee 13
Contract 2,Critical,general,1710210369054,Priority 3,Employee 15
Contract 31,Critical,general,1708389579314,Priority 2,Employee 10
Contract 9,High,data-imports,1708299255982,Priority 3,Employee 2
Contract 34,Medium,general,1707972398842,Priority 1,Employee 10
Contract 34,Critical,general,1707454540960,Priority 3,Employee 10
Contract 31,High,general,1706758296018,Priority 3,Employee 15
Contract 42,Medium,website-design,1706070355174,Priority 3,Employee 10
Contract 34,High,general,1705905835991,Priority 3,Employee 20
Contract 2,Low,general,1705458059235,Hold Off,Employee 7
Contract 20,Medium,website upgrades,1705292513687,Priority 1,Employee 9
Contract 48,Critical,general,1704326930581,Immediate,Employee 2
Contract 25,Medium,general,1704245864184,Priority 3,Employee 10
Contract 42,Medium,website-design,1702255057387,Priority 3,Employee 9
Contract 1,Medium,general,1702001683355,Priority 1,Employee 3
Contract 50,High,enquiry,1698896354562,Priority 3,Employee 2
Contract 20,High,graphic-design,1698801011325,Priority 1,Employee 9
Contract 1,Low,graphic-design,1698719982225,Priority 3,Employee 2
Contract 8,Medium,website-design,1697754867418,Priority 2,Employee 2
Contract 12,Medium,general,1697023534207,Priority 1,Employee 2
Contract 34,Medium,general,1695331711799,Priority 3,Employee 10
Contract 25,High,general,1693296993244,Priority 3,Employee 15
Contract 21,High,general,1692840954236,Priority 1,Employee 9
Contract 34,High,general,1692588896674,Priority 3,Employee 10
Contract 34,High,general,1692586273330,Priority 3,Employee 10
Contract 1,High,graphic-design,1692064117452,Priority 3,Employee 2
Contract 26,High,artifacts,1692064000357,Immediate,Employee 2
Contract 22,High,website upgrades,1690946724409,Priority 1,Employee 7
Contract 2,High,data-imports,1690851119555,Priority 1,Employee 15
Contract 34,High,wordpress-dev,1689046330162,Priority 3,Not Assigned
Contract 34,Medium,general,1687216676894,Priority 3,Employee 10
Contract 34,High,general,1685080544344,Priority 3,Employee 10
Contract 34,High,enquiry,1682307061675,Immediate,Employee 10
Contract 34,Critical,general,1681971956537,Priority 3,Employee 7
Contract 34,High,data,1681949942848,Priority 3,Employee 10
Contract 34,High,google-forms,1681345015959,Priority 3,Employee 10
Contract 26,Critical,graphic-design,1681189050848,Immediate,Employee 2
Contract 22,Critical,internal,1680681070615,Priority 2,Employee 10
Contract 2,High,general,1680311386530,Priority 3,Employee 2
Contract 22,Medium,website-design,1680226014226,Priority 3,Employee 20
Contract 34,High,general,1678759642100,Priority 2,Employee 10
Contract 34,Medium,general,1678687946781,Priority 3,Not Assigned
Contract 34,High,general,1678686044219,Immediate,Employee 10
Contract 34,Medium,enquiry,1676963787568,Priority 3,Employee 20
Contract 26,Medium,general,1676341424516,Priority 1,Employee 6
Contract 4,High,enquiry,1675299497920,Priority 3,Employee 20
Contract 34,High,general,1674516768403,Immediate,Employee 20
Contract 34,High,google-forms,1668139030083,Priority 3,Employee 20
Contract 34,High,general,1666570061589,Priority 3,Employee 20
Contract 34,High,general,1661573516616,Priority 3,Employee 20
Contract 9,High,data-imports,1656022429536,Priority 1,Employee 2
Contract 34,Medium,general,1642549883863,Priority 3,Employee 20
Contract 34,High,general,1641951856054,Priority 3,Employee 20
Contract 34,High,general,1640069340641,Immediate,Employee 20
Contract 34,High,general,1639638615428,Immediate,Employee 20
Contract 34,High,general,1639358570415,Immediate,Employee 20
Contract 34,Medium,general,1617758879933,Priority 2,Employee 10
Contract 22,High,data-imports,1611809342980,Priority 1,Employee 15
Contract 34,High,website-design,1611283868090,Priority 3,Employee 10
